"","FP","FPn.1","RT","lower","upper"
"1",395,395,354.43893281251,353.441124388904,355.436741236117
"2",395,795,373.550861848768,372.445920530326,374.65580316721
"3",395,1195,387.70675151638,386.454213483787,388.959289548974
"4",395,1595,397.059230853408,395.613829163551,398.504632543264
"5",795,395,345.17898377241,344.351020553108,346.006946991712
"6",795,795,353.1852391697,352.396141799043,353.974336540357
"7",795,1195,363.389376738782,362.534717857296,364.244035620268
"8",795,1595,371.9474905318,371.021246506257,372.873734557342
"9",1195,395,343.543314615302,342.783737056525,344.302892174079
"10",1195,795,344.085673788367,343.204886592425,344.966460984309
"11",1195,1195,350.09871537461,349.253190374509,350.944240374711
"12",1195,1595,356.554729105853,355.714806864332,357.394651347374
"13",1595,395,343.011279415765,342.068605888255,343.953952943274
"14",1595,795,343.801662255708,342.911753731509,344.691570779907
"15",1595,1195,346.380262514369,345.446763425579,347.313761603159
"16",1595,1595,350.515970128062,349.632200473213,351.399739782911
